iter	Passed	Remaining
866	1183	181
867	1184	180
868	1187	178
869	1188	177
870	1189	176
871	1190	174
872	1191	173
873	1192	171
874	1193	170
875	1193	169
876	1194	167
877	1195	166
878	1196	164
879	1197	163
880	1197	161
881	1198	160
882	1199	158
883	1201	157
884	1203	156
885	1204	154
886	1204	153
887	1205	152
888	1206	150
889	1207	149
890	1208	147
891	1208	146
892	1209	144
893	1210	143
894	1211	142
895	1212	140
896	1215	139
897	1216	138
898	1218	136
899	1218	135
900	1219	134
901	1220	132
902	1221	131
903	1222	129
904	1223	128
905	1223	126
906	1224	125
907	1225	124
908	1226	122
909	1228	121
910	1230	120
911	1231	118
912	1232	117
913	1233	116
914	1234	114
915	1235	113
916	1236	111
917	1237	110
918	1238	109
919	1239	107
920	1240	106
921	1243	105
922	1244	103
923	1245	102
924	1246	101
925	1247	99
926	1248	98
927	1249	96
928	1250	95
929	1251	94
930	1252	92
931	1253	91
932	1253	90
933	1254	88
934	1256	87
935	1258	86
936	1259	84
937	1260	83
938	1261	81
939	1262	80
940	1262	79
941	1263	77
942	1264	76
943	1265	75
944	1266	73
945	1267	72
946	1268	70
947	1269	69
948	1272	68
949	1273	67
950	1274	65
951	1275	64
952	1276	62
953	1277	61
954	1278	60
955	1279	58
956	1279	57
957	1280	56
958	1281	54
959	1282	53
960	1285	52
961	1287	50
962	1288	49
963	1289	48
964	1290	46
965	1292	45
966	1293	44
967	1294	42
968	1295	41
969	1296	40
970	1299	38
971	1301	37
972	1302	36
973	1303	34
974	1304	33
975	1305	32
976	1306	30
977	1307	29
978	1308	28
979	1310	26
980	1313	25
981	1316	24
982	1317	22
983	1319	21
984	1321	20
985	1322	18
986	1323	17
987	1325	16
988	1329	14
989	1331	13
990	1333	12
991	1334	10
992	1336	9
993	1337	8
994	1338	6
995	1339	5
996	1341	4
997	1344	2
998	1345	1
999	1346	0
